Participant,Mode,Route,GlobalTrial,Time(s),DistanceWalked(m)
P01,SoundAndVisual,T6,0,30.34,193.91
P01,SoundAndVisual,T2,1,8.26,66.69
P01,SoundAndVisual,T5,2,6.86,59.35
P01,SoundAndVisual,T3,3,8.74,75.23
P01,SoundAndVisual,T2,0,8.70,75.69
P01,SoundAndVisual,T3,1,8.62,73.26
P01,SoundAndVisual,T5,2,6.30,55.13
P01,SoundAndVisual,T1,3,5.12,36.70
P01,SoundAndVisual,T4,4,7.85,65.88
P01,SoundAndVisual,T6,5,15.23,107.01
P01,SoundAndVisual,T5,0,6.29,53.64
P01,SoundAndVisual,T2,1,8.21,67.94
P01,SoundAndVisual,T4,2,7.22,64.70
P01,SoundAndVisual,T6,3,11.92,97.19
P01,SoundAndVisual,T3,4,7.94,73.07
P01,SoundAndVisual,T1,5,4.94,36.38
P01,SoundAndVisual,T6,0,14.34,101.84
P01,SoundAndVisual,T6,0,14.54,102.19
P01,SoundAndVisual,T1,1,4.00,37.32
P01,SoundAndVisual,T5,2,6.63,61.18
P01,SoundAndVisual,T4,3,6.64,67.96
P01,SoundAndVisual,T3,4,9.68,87.25
P01,SoundAndVisual,T2,5,8.42,78.16
P01,SoundAndVisual,T1,0,6.73,37.02
P01,SoundAndVisual,T2,1,9.16,67.80
P01,SoundAndVisual,T4,2,11.46,93.56
P01,SoundAndVisual,T6,3,14.28,102.11
P01,SoundAndVisual,T3,4,9.42,71.07
P01,SoundAndVisual,T3,0,15.66,71.98
P01,SoundAndVisual,T2,1,8.42,66.20
P01,SoundAndVisual,T5,2,10.04,57.26
P01,SoundAndVisual,T4,3,10.92,71.61
P01,SoundAndVisual,T6,4,14.62,95.03
P01,SoundAndVisual,T1,5,7.70,37.55
