Participant,Mode,Route,GlobalTrial,NodeID,IsDecisionNode,EnterTime(s),LeaveTime(s),TimeSpentInNode(s)
P01,SoundOnly,T1,0,B,True,2.93,3.44,0.50
P01,SoundOnly,T3,1,L,True,0.02,1.78,1.76
P01,SoundOnly,T3,1,G,True,3.43,5.30,1.86
P01,SoundOnly,T3,1,F,True,6.06,6.44,0.38
P01,SoundOnly,T2,2,B,True,0.01,2.52,2.50
P01,SoundOnly,T2,2,C,True,3.24,4.00,0.76
P01,SoundOnly,T2,2,D,True,4.75,5.34,0.58
P01,SoundOnly,T4,3,F,True,0.02,3.14,3.12
P01,SoundOnly,T4,3,I,True,3.98,4.56,0.58
P01,SoundOnly,T4,3,H,True,5.20,5.80,0.60
P01,SoundOnly,T4,3,B,True,6.40,6.98,0.58
P01,VisualOnly,T2,4,B,True,0.02,1.94,1.92
P01,VisualOnly,T2,4,C,True,2.61,3.20,0.58
P01,VisualOnly,T2,4,D,True,3.98,4.56,0.58
P01,VisualOnly,T4,5,F,True,0.01,3.94,3.92
P01,VisualOnly,T4,5,C,True,5.98,6.64,0.66
P01,VisualOnly,T4,5,B,True,7.28,8.06,0.78
P01,VisualOnly,T3,6,L,True,0.02,3.68,3.66
P01,VisualOnly,T3,6,G,True,5.60,6.72,1.12
P01,VisualOnly,T3,6,F,True,7.42,7.92,0.50
P01,VisualOnly,T1,7,K,True,0.02,1.74,1.72
P01,VisualOnly,T1,7,B,True,2.80,3.62,0.82
P01,SoundAndVisual,T1,8,K,True,0.02,1.56,1.54
P01,SoundAndVisual,T1,8,B,True,2.62,3.90,1.28
P01,SoundAndVisual,T3,9,L,True,0.02,3.34,3.32
P01,SoundAndVisual,T3,9,G,True,4.46,5.98,1.52
P01,SoundAndVisual,T3,9,F,True,6.71,7.83,1.12
P01,SoundAndVisual,T2,10,B,True,0.02,3.02,3.00
P01,SoundAndVisual,T2,10,C,True,3.68,5.28,1.60
P01,SoundAndVisual,T2,10,D,True,6.04,7.00,0.96
P01,SoundOnly,T3,0,L,True,0.00,4.28,4.28
P01,SoundOnly,T3,0,G,True,5.39,6.22,0.82
P01,SoundOnly,T3,0,F,True,6.94,7.46,0.52
P01,SoundOnly,T2,1,B,True,0.02,0.74,0.72
P01,SoundOnly,T2,1,B,True,1.72,2.18,0.46
P01,SoundOnly,T2,1,C,True,2.78,3.50,0.72
P01,SoundOnly,T2,1,D,True,4.30,5.38,1.08
P01,SoundOnly,T1,2,K,True,0.02,1.38,1.36
